subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_158,45,original,4,3.070788524867458e-32,1.752366549802711e-16,1.0,4,
BraTS20_Training_159,91,original,4,1.9204113526910615e-32,1.3857890722224148e-16,1.0,4,
BraTS20_Training_160,89,original,4,3.6160823247427847e-32,1.9015999381422962e-16,1.0000000000000002,4,
BraTS20_Training_161,90,original,4,5.293629147755759e-32,2.3007888098988484e-16,1.0,4,
BraTS20_Training_162,85,original,4,8.176726152652375e-33,9.042525174226708e-17,1.0000000000000002,4,
BraTS20_Training_163,89,original,4,5.8603444879547965e-33,7.655288686884902e-17,1.0,4,
BraTS20_Training_164,94,original,4,1.6394973613084332e-32,1.2804285850091106e-16,1.0,4,
BraTS20_Training_165,61,original,4,1.6350744619372872e-32,1.278700301844528e-16,1.0,4,
BraTS20_Training_166,78,original,4,2.332976801867491e-32,1.5274085248771826e-16,1.0,4,
BraTS20_Training_167,67,original,4,4.110297206634832e-32,2.0273867925570669e-16,1.0,4,
BraTS20_Training_168,95,original,4,6.125206619085527e-32,2.474915477159882e-16,0.9999999999999999,4,
BraTS20_Training_169,49,original,4,1.3083975863462813e-32,1.1438520823717905e-16,1.0,4,
BraTS20_Training_170,57,original,4,8.294446146740488e-32,2.880008011575747e-16,1.0,4,
BraTS20_Training_171,92,original,4,1.3938203324181514e-32,1.1806016823713878e-16,1.0,4,
BraTS20_Training_172,101,original,4,9.711971357178e-32,3.116403593435549e-16,1.0,4,
BraTS20_Training_173,85,original,4,1.8347947764169487e-32,1.3545459668896249e-16,1.0,4,
BraTS20_Training_174,90,original,4,1.2218571136343029e-32,1.1053764578795329e-16,1.0000000000000002,4,
BraTS20_Training_175,73,original,4,5.520092241896482e-32,2.349487655191336e-16,1.0,4,
BraTS20_Training_176,107,original,4,4.030950977469393e-32,2.0077228338267694e-16,1.0,4,
BraTS20_Training_177,56,original,4,2.3145555368357856e-32,1.52136633880068e-16,1.0,4,
BraTS20_Training_178,87,original,4,1.47979069820661e-32,1.216466480510914e-16,1.0,4,
BraTS20_Training_179,66,original,4,1.3904896207662372e-32,1.1791902394296847e-16,0.9999999999999998,4,
BraTS20_Training_180,56,original,4,4.802569627064157e-33,6.930057450746102e-17,0.9999999999999999,4,
BraTS20_Training_181,74,original,4,9.905696088843389e-33,9.952736351799635e-17,0.9999999999999999,4,
BraTS20_Training_182,89,original,4,1.0941689627160468e-32,1.0460253164795041e-16,1.0,4,
